geneID	gnomAD_pLI	ExAc_pLI	LOEUF	ClinGene_HI	ClinGene_TI	DDD_HI	HI_bin	TI_bin
MED13	1.0	1.0	0.0			5.27%	0	1
NIPBL	1.0	1.0	0.0	3.0	1	3.01%	0	0
SMC3	1.0	1.0	0.0			2.48%	0	1
CNOT1	1.0	1.0	0.0			4.66%	0	1
RLF	1.0	1.0	0.0			20.79%	1	1
PCF11	1.0	1.0	0.0			9.75%	0	1
FNDC3B	1.0	1.0	0.0			19.52%	0	1
TAF1	1.0	1.0	0.0			12.29%	0	1
RSF1	1.0	1.0	0.0			34.22%	1	1
NCKAP1	1.0	1.0	0.0	3.0	0	9.37%	0	1
KDM2A	1.0	1.0	0.0			16.17%	0	1
BRD4	1.0	0.99999	0.0			23.39%	1	1
HELZ	1.0	1.0	0.0			24.38%	1	1
FBN1	1.0	1.0	0.0	3.0	0	2.53%	0	1
XPO1	1.0	1.0	0.0			7.74%	0	1
PRR12	1.0	0.99997	0.0			71.51%	1	1
USP9X	1.0	1.0	0.0	3.0	0	3.82%	0	1
POLA1	1.0	1.0	0.0			0.01%	0	1
SYNGAP1	1.0	1.0	0.0	3.0	0	19.65%	0	1
PRKDC	1.0	1.0	0.0			10.36%	0	1
HDAC4	1.0	0.99999	0.0	1.0	0	7.56%	0	1
SMG1	1.0	1.0	0.0			8.81%	0	1
ZC3H4	1.0	1.0	0.0			56.54%	1	1
COL5A1	1.0	1.0	0.0	3.0	0	35.85%	0	1
SMARCA4	1.0	1.0	0.0	2.0	0	2.95%	0	1
TNPO1	1.0	1.0	0.0			12.67%	0	1
AGO1	1.0	1.0	0.0			2.94%	0	1
ARHGAP35	1.0	0.99999	0.0			21.6%	1	1
LRP1	1.0	1.0	0.0			32.46%	1	1
TOP1	1.0	1.0	0.0			1.64%	0	1
TRIP12	1.0	1.0	0.0	3.0	0	3.78%	0	1
KMT2E	1.0	1.0	0.0	3.0	0	19.81%	0	1
HCFC1	1.0	1.0	0.0			41.35%	1	1
UBTF	1.0	1.0	0.0			9.84%	0	1
HUWE1	1.0	1.0	0.0	0.0	0	10.58%	0	1
KDM3B	1.0	1.0	0.0			11.65%	0	1
TRRAP	1.0	1.0	0.0	1.0	0	19.5%	0	1
GRIN2B	1.0	0.99999	0.0	3.0	0	10.82%	0	1
USP7	1.0	1.0	0.0			6.46%	0	1
ATP1A3	1.0	0.99999	0.0			43.12%	1	1
ASH1L	1.0	1.0	0.0	3.0	0	23.94%	0	1
ANKRD17	1.0	1.0	0.0			12.36%	0	1
SMC1A	1.0	0.99999	0.0	3.0	0	14.23%	0	1
NPEPPS	1.0	0.99991	0.0			11.57%	0	1
CHERP	1.0	0.99999	0.0			52.95%	1	1
MED13L	1.0	1.0	0.0	3.0	1	7.11%	0	0
RPRD2	1.0	0.99998	0.0			29.71%	1	1
KMT2A	1.0	1.0	0.0	3.0	0	17.01%	0	1
CREBBP	1.0	1.0	0.0	3.0	0	0.62%	0	1
SF3B1	1.0	1.0	0.0			4.28%	0	1
EIF3B	1.0	0.99997	0.0			39.81%	1	1
PPFIA1	1.0	1.0	0.0			64.72%	1	1
ZSWIM6	1.0	0.33018	0.0			10.66%	0	1
PRPF3	1.0	1.0	0.0			11.62%	0	1
KAT6A	1.0	1.0	0.0	3.0	0	19%	0	1
KMT2B	1.0	1.0	0.0	3.0	0		0	1
SIN3A	1.0	1.0	0.0	3.0	0	7.32%	0	1
CHD2	1.0	1.0	0.0	3.0	0	20.62%	0	1
ARID1A	1.0	1.0	0.0	3.0	0	9.63%	0	1
GLTSCR1L	1.0	0.99992	0.0			38.88%	1	1
SCN1A	1.0	1.0	0.0	3.0	0	9.08%	0	1
MED12	1.0	1.0	0.0	0.0	0	6.34%	0	1
TJP1	1.0	1.0	0.0			1.87%	0	1
SPEN	1.0	1.0	0.0	1.0	0	5.51%	0	1
WDFY3	1.0	1.0	0.0			21.08%	1	1
HDAC6	1.0	0.99992	0.0			48.04%	1	1
EHMT1	1.0	1.0	0.0	3.0	1	62.96%	0	0
JMJD1C	1.0	1.0	0.0			13.64%	0	1
MAP3K12	1.0	0.99998	0.0			24.82%	1	1
GGNBP2	1.0	0.99993	0.0			10.96%	0	1
CASK	1.0	0.99989	0.0			3.08%	0	1
TLE3	1.0	0.99991	0.0			20.63%	1	1
CHD6	1.0	1.0	0.0			19.36%	0	1
UBR5	1.0	1.0	0.0			2.1%	0	1
EIF4G1	1.0	1.0	0.0			9.35%	0	1
NBEA	1.0	1.0	0.0	3.0	0	6.83%	0	1
SMARCA5	1.0	1.0	0.0			4.36%	0	1
TSC2	1.0	1.0	0.0	3.0	0	10.92%	0	1
SUPT5H	1.0	1.0	0.0			33.75%	1	1
GREB1L	1.0	0.0	0.0			9.33%	0	1
PTCH1	1.0	1.0	0.0	3.0	0	0.48%	0	1
CHD7	1.0	1.0	0.0	3.0	0	2.4%	0	1
RAD54L2	1.0	1.0	0.0			12.34%	0	1
CNOT3	1.0	0.99997	0.0	0.0	0	49.76%	1	1
AHDC1	1.0	0.99943	0.0	3.0	0	18.42%	0	1
U2SURP	1.0	1.0	0.0			5.32%	0	1
RBM25	1.0	1.0	0.0			6.67%	0	1
GIGYF2	1.0	1.0	0.0	2.0	0	14.01%	0	1
MBTD1	1.0	0.99518	0.0			5.67%	0	1
DCAF5	1.0	0.99997	0.0			35.55%	1	1
SUV420H1	1.0	0.99993	0.0			20.8%	1	1
RABGAP1	1.0	1.0	0.0			13.04%	0	1
KHSRP	1.0	0.99971	0.0			35.76%	1	1
TM9SF2	1.0	0.99993	0.0			22.37%	1	1
MATR3	1.0	0.99982	0.0			3.66%	0	1
PHF21A	1.0	0.99968	0.0	2.0	0	2.85%	0	1
NAV1	1.0	1.0	0.0			15.76%	0	1
HIVEP2	1.0	1.0	0.0	3.0	0	13.96%	0	1
OGT	1.0	0.99995	0.0			2.87%	0	1
